DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 t23c020r.enh.wav	 1.429	 0.000	 0	 16000	0.0080
 t23c020s.enh.wav	 2.092	 0.000	 0	 16000	-0.0040
 t23c020t.enh.wav	 1.528	 0.000	 0	 16000	0.0040
 t23c020u.enh.wav	 2.071	 0.000	 0	 16000	0.0000
 t23c020v.enh.wav	 1.813	 0.000	 0	 16000	0.0040
 t23c020w.enh.wav	 2.067	 0.000	 0	 16000	0.0000
 t23c020x.enh.wav	 2.141	 0.000	 0	 16000	-0.0040
 t23c020y.enh.wav	 2.196	 0.000	 0	 16000	-0.0040
 t23c020z.enh.wav	 1.747	 0.000	 0	 16000	0.0040
 t23c0210.enh.wav	 1.953	 0.000	 0	 16000	0.0040
 t23c0211.enh.wav	 2.071	 0.000	 0	 16000	0.0000
 t23c0212.enh.wav	 1.891	 0.000	 0	 16000	0.0040
 t24c020c.enh.wav	 1.292	 0.000	 0	 16000	0.0000
 t24c020i.enh.wav	 1.583	 0.000	 0	 16000	0.0040
 t24c020r.enh.wav	 1.754	 0.000	 0	 16000	0.0000
 t24c020s.enh.wav	 1.326	 0.000	 0	 16000	0.0080
 t24c020t.enh.wav	 1.569	 0.000	 0	 16000	0.0080
 t24c020u.enh.wav	 1.645	 0.000	 0	 16000	0.0000
 t24c020v.enh.wav	 1.446	 0.000	 0	 16000	-0.0040
 t24c020w.enh.wav	 1.389	 0.000	 0	 16000	0.0000
 t24c020y.enh.wav	 1.534	 0.000	 0	 16000	0.0000
 t24c020z.enh.wav	 1.312	 0.000	 0	 16000	0.0120
 t24c0210.enh.wav	 1.218	 0.000	 0	 16000	0.0080
 t24c0211.enh.wav	 1.682	 0.000	 0	 16000	0.0000
 t24c0212.enh.wav	 1.645	 0.000	 0	 16000	0.0120
 t25c0202.enh.wav	 1.825	 0.000	 0	 16000	0.0040
 t25c0206.enh.wav	 1.689	 0.000	 0	 16000	0.0080
 t25c020a.enh.wav	 1.854	 0.000	 0	 16000	0.0040
 t25c020c.enh.wav	 1.916	 0.000	 0	 16000	0.0040
 t25c020e.enh.wav	 1.883	 0.000	 0	 16000	-0.0040
 t25c020f.enh.wav	 1.966	 0.000	 0	 16000	0.0040
 t25c020k.enh.wav	 2.060	 0.000	 0	 16000	0.0040
 t25c020m.enh.wav	 1.760	 0.000	 0	 16000	0.0040
 t25c020n.enh.wav	 1.847	 0.000	 0	 16000	0.0080
 t25c020q.enh.wav	 1.996	 0.000	 0	 16000	0.0080
 t25c020s.enh.wav	 1.840	 0.000	 0	 16000	0.0080
 t25c020t.enh.wav	 1.953	 0.000	 0	 16000	0.0040
 t25c020u.enh.wav	 1.861	 0.000	 0	 16000	0.0040
 t25c020v.enh.wav	 2.366	 0.000	 0	 16000	0.0040
 t25c020w.enh.wav	 1.921	 0.000	 0	 16000	0.0040
 t25c020x.enh.wav	 1.882	 0.000	 0	 16000	-0.0040
 t25c020y.enh.wav	 2.045	 0.000	 0	 16000	0.0000
 t25c020z.enh.wav	 1.872	 0.000	 0	 16000	0.0040
 t25c0210.enh.wav	 1.536	 0.000	 0	 16000	0.0080
