REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 cut_data/Real/cln_et/t24c0203.wav	 workspace/enh_wavs/test2/real/t24c0203.enh.wav	 SQValue=1.717	 1.717	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0204.wav	 workspace/enh_wavs/test2/real/t24c0204.enh.wav	 SQValue=1.848	 1.848	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0205.wav	 workspace/enh_wavs/test2/real/t24c0205.enh.wav	 SQValue=1.673	 1.673	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0206.wav	 workspace/enh_wavs/test2/real/t24c0206.enh.wav	 SQValue=1.419	 1.419	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0207.wav	 workspace/enh_wavs/test2/real/t24c0207.enh.wav	 SQValue=1.382	 1.382	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t24c0208.wav	 workspace/enh_wavs/test2/real/t24c0208.enh.wav	 SQValue=1.290	 1.290	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c0209.wav	 workspace/enh_wavs/test2/real/t24c0209.enh.wav	 SQValue=1.599	 1.599	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020a.wav	 workspace/enh_wavs/test2/real/t24c020a.enh.wav	 SQValue=1.544	 1.544	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t24c020b.wav	 workspace/enh_wavs/test2/real/t24c020b.enh.wav	 SQValue=1.443	 1.443	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020d.wav	 workspace/enh_wavs/test2/real/t24c020d.enh.wav	 SQValue=1.414	 1.414	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t24c020e.wav	 workspace/enh_wavs/test2/real/t24c020e.enh.wav	 SQValue=1.408	 1.408	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t24c020f.wav	 workspace/enh_wavs/test2/real/t24c020f.enh.wav	 SQValue=1.322	 1.322	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t24c020h.wav	 workspace/enh_wavs/test2/real/t24c020h.enh.wav	 SQValue=1.614	 1.614	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t24c020j.wav	 workspace/enh_wavs/test2/real/t24c020j.enh.wav	 SQValue=1.481	 1.481	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t24c020k.wav	 workspace/enh_wavs/test2/real/t24c020k.enh.wav	 SQValue=1.266	 1.266	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t24c020l.wav	 workspace/enh_wavs/test2/real/t24c020l.enh.wav	 SQValue=1.392	 1.392	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t24c020m.wav	 workspace/enh_wavs/test2/real/t24c020m.enh.wav	 SQValue=1.700	 1.700	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t24c020n.wav	 workspace/enh_wavs/test2/real/t24c020n.enh.wav	 SQValue=1.304	 1.304	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t24c020o.wav	 workspace/enh_wavs/test2/real/t24c020o.enh.wav	 SQValue=1.363	 1.363	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t24c020p.wav	 workspace/enh_wavs/test2/real/t24c020p.enh.wav	 SQValue=1.526	 1.526	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t24c020q.wav	 workspace/enh_wavs/test2/real/t24c020q.enh.wav	 SQValue=1.251	 1.251	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t25c0201.wav	 workspace/enh_wavs/test2/real/t25c0201.enh.wav	 SQValue=1.855	 1.855	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t25c0203.wav	 workspace/enh_wavs/test2/real/t25c0203.enh.wav	 SQValue=1.951	 1.951	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t25c0204.wav	 workspace/enh_wavs/test2/real/t25c0204.enh.wav	 SQValue=1.505	 1.505	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t25c0205.wav	 workspace/enh_wavs/test2/real/t25c0205.enh.wav	 SQValue=1.688	 1.688	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t25c0207.wav	 workspace/enh_wavs/test2/real/t25c0207.enh.wav	 SQValue=1.875	 1.875	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t25c0208.wav	 workspace/enh_wavs/test2/real/t25c0208.enh.wav	 SQValue=1.853	 1.853	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t25c0209.wav	 workspace/enh_wavs/test2/real/t25c0209.enh.wav	 SQValue=1.656	 1.656	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t25c020b.wav	 workspace/enh_wavs/test2/real/t25c020b.enh.wav	 SQValue=1.872	 1.872	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t25c020d.wav	 workspace/enh_wavs/test2/real/t25c020d.enh.wav	 SQValue=2.113	 2.113	 0.000	 0	 16000	0.0040
 cut_data/Real/cln_et/t25c020g.wav	 workspace/enh_wavs/test2/real/t25c020g.enh.wav	 SQValue=1.837	 1.837	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t25c020h.wav	 workspace/enh_wavs/test2/real/t25c020h.enh.wav	 SQValue=1.482	 1.482	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t25c020i.wav	 workspace/enh_wavs/test2/real/t25c020i.enh.wav	 SQValue=1.981	 1.981	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t25c020j.wav	 workspace/enh_wavs/test2/real/t25c020j.enh.wav	 SQValue=1.504	 1.504	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t25c020l.wav	 workspace/enh_wavs/test2/real/t25c020l.enh.wav	 SQValue=1.449	 1.449	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t25c020o.wav	 workspace/enh_wavs/test2/real/t25c020o.enh.wav	 SQValue=1.702	 1.702	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t25c020p.wav	 workspace/enh_wavs/test2/real/t25c020p.enh.wav	 SQValue=1.845	 1.845	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t25c020r.wav	 workspace/enh_wavs/test2/real/t25c020r.enh.wav	 SQValue=1.570	 1.570	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t36c0201.wav	 workspace/enh_wavs/test2/real/t36c0201.enh.wav	 SQValue=1.956	 1.956	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t36c0202.wav	 workspace/enh_wavs/test2/real/t36c0202.enh.wav	 SQValue=2.145	 2.145	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t36c0203.wav	 workspace/enh_wavs/test2/real/t36c0203.enh.wav	 SQValue=2.146	 2.146	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t36c0204.wav	 workspace/enh_wavs/test2/real/t36c0204.enh.wav	 SQValue=2.003	 2.003	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t36c0206.wav	 workspace/enh_wavs/test2/real/t36c0206.enh.wav	 SQValue=2.000	 2.000	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t36c0207.wav	 workspace/enh_wavs/test2/real/t36c0207.enh.wav	 SQValue=1.705	 1.705	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t36c0208.wav	 workspace/enh_wavs/test2/real/t36c0208.enh.wav	 SQValue=2.107	 2.107	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t36c020g.wav	 workspace/enh_wavs/test2/real/t36c020g.enh.wav	 SQValue=1.661	 1.661	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t36c020k.wav	 workspace/enh_wavs/test2/real/t36c020k.enh.wav	 SQValue=1.772	 1.772	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t36c020n.wav	 workspace/enh_wavs/test2/real/t36c020n.enh.wav	 SQValue=1.538	 1.538	 0.000	 0	 16000	0.0160
 cut_data/Real/cln_et/t37c0202.wav	 workspace/enh_wavs/test2/real/t37c0202.enh.wav	 SQValue=2.044	 2.044	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t37c0204.wav	 workspace/enh_wavs/test2/real/t37c0204.enh.wav	 SQValue=2.307	 2.307	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t37c0205.wav	 workspace/enh_wavs/test2/real/t37c0205.enh.wav	 SQValue=2.300	 2.300	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t37c0209.wav	 workspace/enh_wavs/test2/real/t37c0209.enh.wav	 SQValue=2.016	 2.016	 0.000	 0	 16000	0.0000
 cut_data/Real/cln_et/t37c020a.wav	 workspace/enh_wavs/test2/real/t37c020a.enh.wav	 SQValue=2.301	 2.301	 0.000	 0	 16000	-0.0040
 cut_data/Real/cln_et/t37c020g.wav	 workspace/enh_wavs/test2/real/t37c020g.enh.wav	 SQValue=1.806	 1.806	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t37c020h.wav	 workspace/enh_wavs/test2/real/t37c020h.enh.wav	 SQValue=1.595	 1.595	 0.000	 0	 16000	0.0360
 cut_data/Real/cln_et/t37c020i.wav	 workspace/enh_wavs/test2/real/t37c020i.enh.wav	 SQValue=2.196	 2.196	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t37c020j.wav	 workspace/enh_wavs/test2/real/t37c020j.enh.wav	 SQValue=1.758	 1.758	 0.000	 0	 16000	0.0080
 cut_data/Real/cln_et/t37c020l.wav	 workspace/enh_wavs/test2/real/t37c020l.enh.wav	 SQValue=1.896	 1.896	 0.000	 0	 16000	0.0120
 cut_data/Real/cln_et/t37c020n.wav	 workspace/enh_wavs/test2/real/t37c020n.enh.wav	 SQValue=2.054	 2.054	 0.000	 0	 16000	0.0120
